名称,经纬度
怀柔北站,"116.693218,40.408367"
亦庄站(建设中),"116.601926,39.812728"
十渡站,"115.589443,39.647195"
长辛店站,"116.20695,39.828553"
三家店站,"116.120284,39.951416"
北京南站南广场,"116.380089,39.863908"
聂各庄站,"116.109654,40.098939"
居庸关站,"116.066634,40.300654"
黄土店站,"116.363465,40.069623"
康庄站,"115.898445,40.379846"
青龙桥站,"116.024565,40.350438"
云居寺站,"115.801721,39.623686"
阎村站,"116.100612,39.718726"
沿河城站,"115.720614,40.099035"
北京西站售票处,"116.321962,39.895776"
南观村站,"115.996898,39.769257"
三合庄车站,"115.713394,39.635923"
星火站(建设中),"116.508889,39.948882"
良各庄站,"115.937965,39.720564"
北京大兴站,"116.32817,39.720602"
北宅站,"116.572504,40.340803"
东园站,"116.185434,40.236022"
雁栖湖站,"116.659157,40.373791"
孤山口站,"115.846982,39.647421"
李营站,"116.313354,39.777021"
斜河涧站,"116.058342,39.971213"
黄土店站,"116.346152,40.069361"
怀柔南站(建设中),"116.706444,40.278779"
古北口站,"117.141954,40.692121"
顺义西站(建设中),"116.491444,40.179586"
丰台站(建设中),"116.289639,39.848144"
清河站(进站口),"116.314761,40.040907"
孤山口站,"115.846982,39.647421"
顺义西站(建设中),"116.491444,40.179586"
昌平站(进站口),"116.194657,40.190277"
燕山站(南出站口),"115.958454,39.749084"
燕山站(南进站口),"115.958419,39.749012"
十渡站(进出站口),"115.589752,39.646946"
怀柔站(西进站口),"116.648723,40.317269"
怀柔北站(西进站口),"116.692695,40.409302"
黄土店站,"116.346152,40.069361"
上万站,"116.044813,39.822672"
延庆火车站北广场,"115.985065,40.437735"
色树坟站,"116.000102,39.969389"
丰台站(建设中),"116.289639,39.848144"
后章村站,"116.182886,40.129864"
黄村站(东北进站口),"116.331475,39.720906"
三家店站(南出站口),"116.120417,39.950148"
怀柔南站(建设中),"116.706444,40.278779"
斜河涧站,"116.058342,39.971213"
平峪站,"115.538685,39.661784"
李营站,"116.313354,39.777021"
古北口站,"117.141954,40.692121"
珠窝站,"115.80087,40.051594"
黄村站(东北出站口),"116.331123,39.721258"
安定站,"116.488809,39.618074"
密云北站(南进站口),"116.862368,40.396815"
统军庄站,"116.753136,40.34212"
雁翅站,"115.897221,40.035485"
密云北站(南出站口),"116.862586,40.396697"
乔庄东站,"116.697046,39.893596"
高各庄站,"116.629457,40.257916"
巨各庄站,"116.998665,40.365782"
顺义站(东进站口),"116.645481,40.12586"
小水峪站(南出站口),"116.726202,40.45357"
小水峪站(南进站口),"116.726386,40.453621"
八达岭长城站,"116.01091,40.359278"
密云石塘路站,"116.837518,40.55179"
密云东站(建设中),"116.851718,40.353297"
密云大城子站,"117.11715,40.399943"
北京西站(北2出站口),"116.321455,39.896023"
黑山寺站,"116.795976,40.490619"
北京南站12-15站台列车候车区,"116.379809,39.865419"
顺义站(出站口),"116.645759,40.125611"
北京西站(售票处南西入口),"116.320299,39.893541"
北京西站(F2北二进站口),"116.321986,39.896092"
北京北站(进站口),"116.353874,39.942448"
北京西站(售票处南东入口),"116.322171,39.893536"
北京西站(东南进站口),"116.322581,39.893536"
连接通道(北京站),"116.426258,39.903555"
北京西站(F2北一进站口),"116.320361,39.896105"
北京西站(东南进站口),"116.322581,39.893536"
吉首站,"109.735414,28.324642"
长沙南站,"113.06551,28.147093"
株洲西站,"113.069681,27.790887"
株洲站,"113.157229,27.834934"
长沙站,"113.013714,28.193858"
岳阳东站,"113.207352,29.366234"
怀化南站,"109.993503,27.512353"
郴州西站,"112.969956,25.736613"
邵阳站,"111.461394,27.213027"
怀化站,"109.967168,27.557977"
郴州站,"113.032966,25.808696"
娄底站,"112.005593,27.739659"
张家界站,"110.486394,29.104577"
益阳站,"112.342261,28.538067"
衡阳东站,"112.709559,26.896474"
衡阳站,"112.631049,26.889537"
衡阳西站,"112.601394,26.883"
耒阳西站,"112.789024,26.41446"
岳阳站,"113.119807,29.37656"
常德站,"111.695348,29.071107"
衡山西站,"112.789783,27.247382"
醴陵站,"113.512868,27.668824"
湘潭站,"112.913007,27.875389"
耒阳站,"112.822354,26.404122"
永州站,"111.571592,26.454074"
汨罗东站,"113.144516,28.745834"
衡山站,"112.887688,27.218788"
新化站,"111.303199,27.727523"
宁乡站,"112.580597,28.289084"
长沙西站,"112.825879,28.261535"
麻阳站,"109.803529,27.855364"
攸县南站,"113.341203,26.843301"
湘乡站,"112.52918,27.744595"
慈利站,"111.119093,29.416993"
汨罗站,"113.075621,28.814057"
石门县北站,"111.433563,29.599397"
临澧站,"111.609018,29.433614"
凉亭坳站,"109.923036,27.749571"
汉寿站,"111.947378,28.770086"
靖州站,"109.688231,26.566901"
澧县站,"111.604599,29.818929"
湘府路站,"113.027943,28.110574"
涟源站,"111.675985,27.684709"
临湘站,"113.484136,29.474575"
溆浦站,"110.578094,27.925912"
冷水江东站,"111.468,27.657956"
黔城站,"109.837629,27.199786"
香樟路站,"113.029961,28.137843"
泸阳站,"110.09968,27.598854"
鸭咀岩站,"109.965586,27.47172"
泸阳站,"110.09968,27.598854"
鸭咀岩站,"109.965586,27.47172"
江华站,"111.555899,25.180317"
祁东站,"112.06581,26.760572"
攸县站,"113.354536,27.011598"
会同站,"109.732492,26.882057"
渌口站,"113.143401,27.707856"
汨罗东站(东出站口),"113.144205,28.745424"
洞井站,"113.014355,28.095771"
道州站,"111.570091,25.514979"
田心东站,"113.129992,27.896548"
娄底南站,"112.013321,27.663335"
大丰站,"113.155981,27.879605"
树木岭站,"113.018471,28.156172"
双峰北站,"112.013842,27.558532"
路口铺站,"113.368218,29.510057"
先锋站,"112.990947,28.073231"
陬市站,"111.522141,29.042399"
后坪站,"110.33572,29.059705"
龙潭镇站,"111.14959,28.947595"
常德站(进站口),"111.695075,29.07128"
牛车河站,"111.0002,29.031328"
板塘站,"112.95659,27.854764"
张家界南站(西北出站口),"110.485421,29.104504"
新晃西站,"109.126003,27.379979"
吉首站(东南进站口),"109.735343,28.324249"
常德站(出站口),"111.693898,29.0713"
邵阳北站,"111.504334,27.573312"
东安东站,"111.337867,26.37845"
衡南站(装修中),"112.944852,26.829551"
云溪站,"113.27708,29.471673"
桃源站,"111.39996,28.904989"
浏阳东站,"113.682168,28.277316"
桃源站(出站口),"111.398887,28.904299"
桃源站(进站口),"111.399378,28.904342"
湘潭北站,"112.942374,27.963789"
长沙站东站房,"113.016227,28.193281"
牛车河站(进站口),"111.000004,29.031025"
茶陵南站,"113.523886,26.737073"
猛洞河站,"109.982604,28.687047"
韶山南站,"112.547247,27.889059"
古丈站,"109.945714,28.620239"
乌山站(建设中),"112.75054,28.305871"
邵东站,"111.748105,27.273874"
新化南站,"111.16013,27.656041"
谷山站,"112.907698,28.229805"
观沙岭站,"112.949566,28.230407"
新晃站,"109.196508,27.348923"
波洲站,"109.285904,27.37948"
新化南站(西北进站口),"111.160482,27.655673"
益阳站(北出站口),"112.342973,28.538467"
益阳站(北进站口),"112.341677,28.538688"
泥江口站,"112.301753,28.402474"
禾家村站,"110.631686,29.171907"
岳阳站(南出站口),"113.119264,29.376476"
醴陵东站(西南出站口),"113.577548,27.714981"
白沙洲站,"112.623367,26.826234"
洪山殿站,"112.027373,27.573417"
西渡站,"112.428248,27.002463"
白马溪站,"110.829756,29.28231"
衡阳东站(西进站口),"112.709659,26.896777"
张家界站(北出站口),"110.485572,29.104553"
黑石铺站,"112.960156,28.110252"
莲花站,"112.778628,26.563508"
通道站,"109.632319,26.316037"
白马垄站,"113.069834,27.924691"
大托铺站,"112.961029,28.053178"
衡山西站(东出站口),"112.788985,27.247432"
团结山站(暂停营业),"111.114541,27.971129"
张家界西站(进站口),"110.463001,29.168723"
炎陵站,"113.784078,26.499805"
湘乡站(南进站口),"112.529104,27.745011"
湘乡站(南出站口),"112.528823,27.744984"
新化南站(西北出站口),"111.160903,27.655803"
双牌站,"111.660419,26.019588"
安仁站,"113.257162,26.768515"
株洲南站,"113.168408,27.768818"
岳阳站(南进站口),"113.119881,29.376484"
锦和站,"109.599021,27.714908"
横阳山站,"111.168755,27.908247"
桑植站(出站口),"110.096748,29.356111"
桑植站(进站口),"110.096279,29.355905"
张家界西站,"110.463234,29.168456"
塘渡口站,"111.342346,27.022133"
石门县北站(南进站口),"111.433899,29.599706"
耒阳西站(东出站口),"112.788669,26.414469"
耒阳站(东出站口),"112.823002,26.404503"
教字垭站,"110.340716,29.281839"
张家界北候车厅,"110.551437,29.119392"
桑植站,"110.0967,29.355776"
郴州站(西进站口),"113.033012,25.808248"
醴陵东站,"113.57779,27.714832"
醴陵东站(西南进站口),"113.577954,27.71482"
安化站,"111.100595,28.034712"
耒阳站(东进站口),"112.822843,26.403924"
三都站,"113.276001,26.036348"
邵阳西站,"111.245712,27.210348"
杨桥站,"112.007986,27.168113"
衡山西站(东进站口),"112.789458,27.247933"
普安堂站,"112.264121,27.71792"
祁阳站,"111.832224,26.607891"
洞口站,"110.616971,27.094951"
新胜利站,"110.839948,28.130966"
衡阳东站(西出站口),"112.709514,26.896639"
桥头铺站,"111.520655,25.281911"
醴陵站(西南出站口),"113.51113,27.670262"
泗汾站,"113.492659,27.52041"
溆浦南站,"110.592565,27.6054"
靖州站(东进站口),"109.688645,26.566461"
百亩井站,"111.94629,27.710165"
横市站,"112.228984,28.148688"
昭山站候车室,"113.027565,27.921071"
芙蓉南站,"112.996605,28.033724"
荷塘站,"112.987187,27.880696"
耒阳西站(东进站口),"112.788558,26.414002"
零陵站,"111.582513,26.222834"
邵阳站(北出站口),"111.46209,27.213627"
邵阳站(北进站口),"111.461122,27.21352"
羊楼司站,"113.616834,29.507357"
芷江站,"109.660279,27.454126"
川水站,"110.620544,27.969137"
辰溪站,"110.255624,27.87817"
江市站,"109.746273,27.111988"
麻阳站(东北进站口),"109.803514,27.855495"
韶山南站(西北进站口),"112.547428,27.88828"
西河站,"111.176319,27.827207"
隆回站,"111.035061,27.146259"
七星街站,"111.860883,27.907992"
益阳站(出站口),"112.34122,28.538718"
渡坦坪站,"110.693167,29.211797"
新霞流市站,"112.833495,27.063511"
益阳南站(建设中),"112.327339,28.515893"
三门站,"113.121977,27.596405"
艮山口站,"109.697886,26.636833"
金竹山站,"111.499799,27.602975"
沙刀湾站,"110.896039,29.345484"
石泉站,"111.55261,27.604878"
九郎山站,"113.077244,27.918371"
永州站(东出站口),"111.571051,26.453606"
益阳东站,"112.39087,28.50727"
新凤凰站,"109.73203,28.045283"
龙山北站(出站口),"109.464087,29.487925"
龙山北站(进站口),"109.464405,29.487488"
连山站,"109.717809,26.81215"
邵东站(出站口),"111.747305,27.274066"
检票口,"111.747805,27.274598"
道州站(东出站口),"111.569806,25.515223"
湘泉站,"109.789664,28.383045"
石门县北站(南出站口),"111.433206,29.599677"
七松站,"111.288961,29.583105"
苗市站,"111.211649,29.530889"
郴州站(西出站口),"113.032981,25.808467"
昭山站(B进站口),"113.027461,27.920996"
昭山站(A进站口),"113.027916,27.921072"
水塘站,"113.04297,25.711108"
江华站(东进站口),"111.555433,25.179899"
网岭站,"113.436466,27.231145"
凤岩站,"109.855515,29.353612"
泉湖站,"112.29354,26.838489"
白蜡桥站,"109.698599,26.756254"
吉首站(东南出站口),"109.735484,28.324379"
流坪站,"109.674792,26.456704"
江华站(东出站口),"111.555558,25.179931"
韶山站(西北出站口),"112.528643,27.921672"
大江口站,"110.396805,27.86318"
坳上站,"113.02714,25.68324"
东安东站(北出站口),"111.337821,26.378016"
东安东站(北进站口),"111.337342,26.378"
低庄站,"110.715909,28.049329"
水沙坪站,"109.556573,29.375922"
攸县站(西出站口),"113.354549,27.011345"
攸县站(西进站口),"113.354551,27.011332"
攸县南站(西北进站口),"113.341207,26.84297"
攸县南站(西北出站口),"113.341683,26.843102"
相见站,"109.748236,27.043045"
张家界站(北进站口),"110.486781,29.10473"
麻阳站(东北出站口),"109.803402,27.855655"
白山坪站,"112.916214,26.367134"
牙屯堡站,"109.622712,26.130135"
娄底站(东南出站口),"112.005983,27.738823"
谭子山南站,"112.335326,26.827649"
邵东站(进站口),"111.747827,27.274092"
邵东站候车厅,"111.747743,27.274075"
暮云市站(暂停营业),"112.99615,27.989042"
珠矶滩站,"112.86065,26.363198"
芷江西站,"109.660839,27.447943"
冷水井站,"109.885104,27.263428"
八方山站,"112.934519,28.230406"
郴州站(南出站口),"113.032844,25.808191"
麓谷站,"112.864394,28.247852"
周家寨站,"109.70761,28.187174"
湘潭北站(西南出站口),"112.941648,27.964215"
湘潭北站(东南进站口),"112.942365,27.96451"
雷龙里站,"113.527613,26.814563"
汨罗东站(东进站口),"113.144197,28.745595"
烟溪站,"110.906963,28.134206"
娄底站(东南进站口),"112.006534,27.739286"
冷水江东站(东北进站口),"111.467195,27.658584"
太阳坪站,"109.723769,26.703667"
靖州站(东出站口),"109.688803,26.566768"
五里墩站,"113.21481,27.806865"
淦田站,"113.153788,27.500026"
万福岭站,"111.901106,26.769728"
观山站,"111.768782,27.655459"
零陵站(东出站口),"111.581351,26.223186"
官坝站,"110.233962,28.936126"
暮云站,"113.00599,27.99034"
双板桥站,"112.047495,27.600337"
排楼站,"109.928926,27.330319"
双涟站,"112.018265,27.538932"
荣家湾站(西出站口),"113.124905,29.144949"
茶陵站(东南出站口),"113.549583,26.81009"
开福寺站,"112.980458,28.223133"
尖山站,"112.887539,28.236598"
理家坪站,"111.663443,25.663902"
安江东站,"110.1627,27.339786"
易家桥站,"111.693127,26.548714"
醴陵站(西南进站口),"113.511252,27.670096"
道州站(东进站口),"111.569796,25.515602"
火马塘站,"110.137097,27.659142"
老粮仓火车站,"112.223688,28.076669"
湘潭站(南进站口),"112.913132,27.875188"
小龙门站,"110.174718,27.805259"
排前站,"113.424236,26.824119"
三八二公里站,"110.291437,27.909471"
昭山站,"113.028399,27.921086"
湘潭站(南出站口),"112.912324,27.875424"
冷水江东站(东北出站口),"111.466961,27.658537"
零阳镇火车站货站,"111.115298,29.417571"
龙山北站,"109.464483,29.487646"
沙堆站,"110.32357,27.902337"
江永站,"111.465977,25.349899"
塘豹站,"109.622221,26.206988"
李家冲站,"111.393499,27.148565"
施溶溪站,"110.064699,28.772817"
利略站,"109.709634,28.134433"
株木山站,"111.895398,27.847662"
巴集站,"113.475578,26.80458"
冷水铺站,"109.505904,27.421086"
永州站(进站口),"111.571377,26.454144"
永茂站,"110.278047,29.002069"
太平里站,"113.029926,25.488864"
郴州西站候车室,"112.970042,25.7366"
株洲西站(2进站口),"113.068837,27.790888"
岳阳东站(西进站口),"113.207881,29.366294"
长沙南站(东进站口),"113.067328,28.146991"
城际长沙站(进站口),"113.016462,28.193221"
株洲西站(东出站口),"113.068724,27.791561"
株洲站(西进站口),"113.156538,27.83537"
长沙南站(进出站口西A),"113.063469,28.146339"
长沙站(西进站口),"113.012504,28.193874"
衡阳站(西进站口),"112.63097,26.88989"
衡阳站(西出站口),"112.631423,26.889326"
株洲站(西出站口),"113.156748,27.834951"
长沙南站(进站口),"113.06345,28.14661"
郴州西站(东出站口),"112.969628,25.735668"
郴州西站(东进站口),"112.969628,25.736211"
株洲西站(东进站口),"113.068832,27.790989"
长沙站(西出站口),"113.012589,28.194903"
长沙南站(西1出站口),"113.063556,28.146331"
岳阳东站(西出站口),"113.207588,29.366022"
岳阳东站(西出站口),"113.207588,29.366022"
绩溪北站,"118.571607,30.071142"
合肥站,"117.316937,31.885135"
蚌埠南站,"117.441448,32.901907"
芜湖站,"118.391643,31.347988"
阜阳站,"115.86825,32.914512"
马鞍山东站,"118.540892,31.69252"
蚌埠站,"117.378285,32.943451"
安庆西站,"116.819492,30.761934"
宿州东站,"117.250756,33.675401"
淮南站,"117.020236,32.630722"
滁州北站,"118.327853,32.308027"
宿州站,"116.995149,33.63889"
六安站,"116.499665,31.714959"
安庆站,"117.065139,30.549275"
黄山站,"118.322525,29.722545"
肥东站(装修中),"117.485756,31.862088"
繁昌西站,"118.158163,31.071407"
马鞍山站,"118.502361,31.707324"
亳州站,"115.797419,33.847873"
涡阳站,"116.23995,33.488034"
歙县北站,"118.410632,29.921814"
桐城站,"116.978616,31.050667"
淮北站,"116.8028,33.966664"
池州站,"117.522652,30.619293"
滁州站,"118.319905,32.198802"
全椒站,"118.282951,32.060217"
淮南东站,"117.150127,32.646206"
砀山站,"116.330589,34.416566"
铜陵站,"117.861442,30.918688"
萧县北站,"116.941219,34.236316"
巢湖站,"117.890512,31.614664"
庐江站,"117.176856,31.341387"
明光站(建设中),"117.987933,32.770534"
水家湖站,"117.169449,32.483193"
天柱山站,"116.560326,30.655476"
广德站,"119.409302,30.911854"
绩溪县站,"118.583793,30.055636"
定远站,"117.842283,32.574915"
阜南站,"115.553994,32.638324"
宿松站,"116.104065,30.229766"
固镇站,"117.307466,33.31756"
太湖站,"116.300139,30.45983"
泾县站,"118.389296,30.658189"
宁国站,"118.992479,30.635397"
歙县站,"118.411663,29.866602"
旌德站,"118.529319,30.292252"
颍上站,"116.307584,32.739564"
金寨站,"115.975584,31.625827"
舒城站,"117.159956,31.50915"
柯坦站,"117.139869,31.239813"
东至站,"117.028572,30.172397"
大通站,"117.057119,32.638165"
黄口站,"116.697917,34.359599"
蚌埠东站,"117.457735,32.927155"
弋江站,"118.378695,31.248893"
祁门站,"117.729953,29.846388"
灵璧站,"117.540404,33.599273"
炉桥站,"117.231002,32.553067"
铜陵北站,"118.02126,31.013308"
口孜集站,"116.086616,32.835202"
宿州站(西进站口),"116.994781,33.638183"
宿州站(西2进站口),"116.994781,33.638294"
宿州站(西3进站口),"116.994781,33.638378"
巢湖东站,"117.923854,31.617877"
连城站,"117.334464,33.247949"
淮南站(北出站口),"117.020067,32.630929"
宿州站(西出站口),"116.994773,33.638484"
黑塔站,"118.043933,33.561334"
永兴站,"116.026118,33.079464"
淮北北站,"116.850068,34.047108"
合肥南站,"117.290345,31.797813"
六安站(西北进站口),"116.500105,31.715245"
新安庆西站(建设中),"116.863646,30.672226"
黄山北站,"118.273522,29.814721"
太湖南站(建设中),"116.364639,30.410111"
淮南站(北进站口),"117.019506,32.630896"
宿州南站,"117.012129,33.612162"
姚李庙站,"116.160508,31.774693"
太和北站,"115.578588,33.221715"
褚庄集站,"117.006774,33.8333"
寿县站,"116.806519,32.593613"
庐江南站,"117.296394,31.123255"
砀山站(进站口),"116.330051,34.416897"
界首市站,"115.377837,33.267931"
西寺坡站(暂停营业),"117.098401,33.516853"
毕家岗站,"116.843575,32.637672"
丁里站,"116.926214,34.108784"
寿县站(进站口),"116.80587,32.593381"
霍邱站,"116.143663,32.055"
含山南站(装修中),"118.092327,31.478236"
钱庙站,"116.504533,32.813048"
凤台南站,"116.623589,32.635899"
淮北站(进站口),"116.802749,33.966874"
萧县站,"116.958429,34.168576"
宣城站(东进站口),"118.775241,30.948271"
南陵站,"118.298419,30.836048"
宣城站,"118.775127,30.948121"
阜阳西站(进站口),"115.753764,32.8832"
六安站(西北出站口),"116.499807,31.715072"
太和东站(进站口),"115.72711,33.15597"
临泉站(进站口),"115.3776,33.022505"
界首南站(进站口),"115.325592,33.222784"
颍上北站(进站口),"116.211047,32.678973"
合肥西站(建设中),"117.234977,31.871649"
龙桥站,"117.443701,31.134802"
郎溪南站(建设中),"119.156208,30.938096"
年家岗站,"117.262673,32.609437"
滁州北站(西南进站口),"118.327336,32.307947"
广德南站(建设中),"119.417685,30.85467"
二郎集站,"115.81322,33.43205"
安庆站(西南出站口),"117.064819,30.549146"
安庆站(东南进站口),"117.065692,30.548862"
柘皋站(建设中),"117.723813,31.745955"
胡乐站,"118.780584,30.344737"
竹峰站,"118.944906,30.568391"
庐江西站(建设中),"117.220734,31.273085"
冯井站,"115.947242,32.428493"
十字铺站,"119.132805,30.947926"
青龙山站,"116.801888,33.869859"
周小庙站,"116.180468,33.348616"
亳州站(西进站口),"115.797378,33.847843"
滁州北站(进站口),"118.327257,32.307992"
淮北市火车站候车大厅,"116.802794,33.967339"
池州站(西北出站口),"117.522804,30.620225"
岩寺站,"118.364902,29.836777"
滁州北站(出站口),"118.326931,32.308465"
王楼站,"115.790147,34.005475"
港口站,"118.933068,30.727186"
歙县站(北入口),"118.411941,29.8666"
池州站(西北进站口),"117.522201,30.619573"
周曲家站,"118.319444,31.394194"
长临河站,"117.482921,31.698046"
桐城站(西进站口),"116.978581,31.050656"
桐城站(西出站口),"116.978512,31.050413"
芜湖北站(建设中),"118.256491,31.355283"
甲路站,"118.849527,30.41703"
淮南东站(西进站口),"117.150353,32.645671"
范岗站,"116.883122,30.981899"
淮北南站(建设中),"116.721485,33.861037"
九龙岗站,"117.107567,32.611764"
芦庙站,"115.785934,34.039819"
三堂集站,"115.820862,33.336986"
巢湖站(西南进站口),"117.890512,31.614436"
亳州南站,"115.798899,33.794666"
固镇站(东北出站口),"117.307082,33.316874"
淮北站候车室,"116.803273,33.966905"
铜陵站(西出站口),"117.861531,30.919152"
铜陵站(西进站口),"117.861366,30.918551"
歙县站(东出站口),"118.412122,29.866999"
亳州南站(进站口),"115.798711,33.794561"
砀山南站,"116.303635,34.38652"
芦庙站(进站口),"115.786078,34.040159"
当涂东站,"118.525984,31.561015"
古城东站(进站口),"115.812038,33.526197"
巢北站(暂停营业),"117.803742,31.971145"
青疃站,"116.42763,33.619584"
霍邱站(东北出站口),"116.143009,32.054247"
霍邱站(东北进站口),"116.14275,32.054409"
阜阳西站,"115.752077,32.883187"
亳州站(西出站口),"115.797409,33.848201"
固镇站(东北进站口),"117.306739,33.317206"
定远站(出站口),"117.841565,32.57475"
定远站(进站口),"117.841588,32.574631"
明光站(东北进站口),"117.988827,32.769865"
巢湖站(西南出站口),"117.89109,31.614361"
合肥北城站,"117.252598,32.063325"
下塘站,"117.217449,32.195117"
砀山站(北进站口),"116.330193,34.416847"
篁墩站,"118.363362,29.769579"
张家岗站,"117.206111,32.492901"
合肥南站(2F东进站口),"117.291212,31.798422"
香隅站,"116.840086,30.04269"
黄山站(南出站口),"118.322626,29.72233"
担子站,"118.372782,32.255505"
合肥南站(2层西进站口),"117.289541,31.798047"
肥东站(西北进站口)(装修中),"117.485571,31.862083"
明光站(东北出站口),"117.989134,32.770215"
颍上北站,"116.21089,32.678682"
墩义堂站,"115.505288,31.329112"
水家湖站(西南出站口),"117.168667,32.483385"
武店站,"117.290885,32.694211"
新马桥站(暂停营业),"117.353618,33.179689"
临涣站,"116.564276,33.674176"
五沟车站,"116.642988,33.551253"
竹溪站,"117.186303,31.781596"
天齐庙站,"116.275654,33.538251"
霞西站,"118.945702,30.515906"
黄山站(东南进站口),"118.322182,29.722304"
广德站(南出站口),"119.409091,30.91191"
临泉站,"115.377109,33.021962"
太和东站,"115.726694,33.156186"
合肥西站(暂停营业),"117.216257,31.832983"
合肥北城站(东进站口),"117.252914,32.063292"
水家湖站(西南进站口),"117.168889,32.483055"
无为南火车站,"117.929754,31.155024"
湾沚南站(建设中),"118.585043,31.092464"
界首南站,"115.326952,33.222992"
嬉子湖站(建设中),"116.964438,30.871626"
淮北站(出站口),"116.80249,33.966901"
肥东站(西北出站口),"117.485568,31.862404"
无为站,"117.969275,31.304072"
赵桥站,"115.798463,33.763767"
三阳站,"118.807804,30.027021"
桐城东站(建设中),"117.039472,31.024101"
卞庄站,"118.037683,32.727477"
黄山北站(东南进站口),"118.272763,29.815373"
黄山北站(东南出站口),"118.27302,29.815641"
海孜站,"116.627146,33.729222"
青岘岭站,"119.629269,31.053265"
舒城东站(建设中),"117.049935,31.482419"
合肥南站(北出站口),"117.290195,31.7996"
泗县东站(建设中),"117.989958,33.4632"
毛耳山站,"118.449821,31.493301"
淮南南站,"117.041097,32.543661"
古城火车站(暂停营业),"115.809279,33.544737"
合肥南站(东进站口),"117.291131,31.798383"
金村站,"118.246814,29.777152"
东关站,"118.016184,31.49025"
合肥西站(东南进站口),"117.21648,31.832079"
泗县站,"117.85045,33.536773"
古城东站,"115.812035,33.526564"
古城集站(暂停营业),"115.809229,33.544927"
砀山站(出站口),"116.331,34.416941"
李郢孜站,"116.887407,32.583705"
蚌埠站(北进站口),"117.377555,32.94395"
马鞍山东站(西出站口),"118.540606,31.693075"
芜湖站(东出站口),"118.392218,31.347697"
合肥站(出站口),"117.316086,31.88511"
芜湖站(东进站口),"118.3928,31.348314"
蚌埠站候车厅,"117.37777,32.943921"
马鞍山东站(西南进站口),"118.539536,31.69205"
合肥站(南进站口),"117.316498,31.884604"
安庆西站(西北进站口),"116.819124,30.762448"
阜阳站(进站口),"115.867972,32.914615"
阜阳站(西出站口),"115.867717,32.915219"
合肥站(西南进站口),"117.316213,31.884775"
宿州东站(西出站口),"117.251006,33.675734"
宿州东站(西进站口),"117.251465,33.675325"
安庆西站(西北出站口),"116.819515,30.762256"
蚌埠站(北出站口),"117.378433,32.943778"
合肥站(西南出站口),"117.315631,31.885403"
合肥站(西南出站口),"117.315631,31.885403"
重庆北站,"106.550943,29.609826"
重庆站,"106.54607,29.548883"
重庆南站,"106.538942,29.49678"
万州站,"108.400016,30.754532"
潼南站,"105.878266,30.219175"
合川站,"106.278528,29.959783"
秀山站,"109.015996,28.445212"
黔江站,"108.791009,29.44328"
酉阳站,"108.962004,28.808367"
重庆西站,"106.436599,29.500284"
梁平站,"107.817412,30.715246"
石柱县站,"108.097376,29.965596"
万州北站,"108.366965,30.862789"
武隆站,"107.775653,29.326167"
涪陵站,"107.333802,29.69937"
涪陵北站,"107.277572,29.770061"
綦江站,"106.66416100000001,29.017082"
江津站,"106.241749,29.26073"
永川东站,"105.949611,29.371137"
梁平南站,"107.769981,30.64259"
荣昌站,"105.580366,29.394551"
荣昌北站,"105.636772,29.432575"
永川站,"105.901102,29.340882"
北碚站,"106.431863,29.802288"
南川站,"107.106551,29.14418"
珞璜南站,"106.44176,29.299379"
赶水站,"106.710568,28.747023"
跳磴站,"106.423048,29.394767"
赶水东站,"106.707102,28.762243"
石场站,"106.410109,29.344249"
丰都站,"107.690193,29.845635"
彭水站,"108.237902,29.362045"
綦江东站,"106.662546,29.022872"
天府北站,"106.499357,29.925821"
茨坝站,"105.935517,29.10961"
垫江站,"107.378016,30.307041"
沙坪坝站,"106.460509,29.554055"
白涛站,"107.474991,29.565712"
罗田站,"108.575367,30.514438"
鱼背山站,"108.485186,30.592635"
铜罐驿站,"106.386924,29.293604"
洛碛站,"106.923893,29.72198"
三汇坝站,"106.582709,30.058606"
大足南站,"105.745841,29.421425"
长寿北站,"107.075341,29.880884000000002"
江津北站(建设中),"106.256803,29.341892"
关龙桥站,"108.001492,30.746868"
柏林站,"105.947818,29.164303"
广顺场站,"105.526337,29.367398"
复盛站(进站口),"106.799427,29.653898"
重庆西站(3号进站口),"106.435815,29.500935"
广顺场站,"105.526337,29.367398"
复盛站(进站口),"106.799427,29.653898"
万州站(出站口),"108.400324,30.755179"
黔江北站,"108.83112,29.515361"
云阳站(建设中),"108.725313,30.997611"
巫山站(建设中),"109.917899,31.129877"
万州车站货场,"108.402966,30.753749"
五桥站,"108.477025,30.774827"
合川站(东北出站口),"106.278035,29.959665"
蔺市站,"107.182119,29.666898"
万州站(进站口),"108.399613,30.755007"
合川站(东北进站口),"106.278114,29.959733"
七龙星站,"106.438304,29.230964"
栏杆滩站,"105.929974,29.293678"
石柱县站(西北进站口),"108.097467,29.965247"
两河口站,"106.722264,28.830764"
小南垭站,"106.438803,29.264177"
丰都站(西北出站口),"107.690649,29.845645"
璧山站(西北出站口),"106.223925,29.50511"
璧山站(西北进站口),"106.223616,29.504921"
夏坝站,"106.513309,29.072918"
金刚沱站,"106.109742,29.142265"
北碚站(西北出站口),"106.431852,29.802781"
安富镇站,"105.461302,29.342876"
石子坝站,"108.579817,29.490412"
黄磏站,"106.300477,29.267534"
白马站,"107.560676,29.406808"
东升坝站,"106.682664,28.884184"
中嘴站,"107.849012,29.301786"
